Supplementary Dataset S6: Prediction of effector proteins among BSPs using EffectorP and DeepRedEff.,,,
GeneID,EffectorP3,EffectorP3_fungi,Deepredeff
Bcin09g00300,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin09g00380,Apoplastic effector,Apoplastic effector,effector
Bcin09g00450,Non-effector,Non-effector,non-effector
Bcin09g00460,Non-effector,Non-effector,non-effector
Bcin09g00470,Non-effector,Non-effector,effector
Bcin09g00510,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin09g00620,Non-effector,Non-effector,non-effector
Bcin09g00970,Apoplastic effector,Apoplastic effector,effector
Bcin09g01060,Apoplastic effector,Apoplastic effector,effector
Bcin09g01110,Apoplastic effector,Apoplastic effector,non-effector
Bcin09g01710,Apoplastic effector,Cytoplasmic/apoplastic effector,non-effector
Bcin09g01800,Non-effector,Non-effector,non-effector
Bcin09g02160,Apoplastic effector,Apoplastic effector,non-effector
Bcin09g02260,Non-effector,Non-effector,effector
Bcin09g02270,Non-effector,Non-effector,effector
Bcin09g02640,Non-effector,Non-effector,effector
Bcin09g02720,Non-effector,Non-effector,effector
Bcin09g02890,Apoplastic effector,Apoplastic effector,non-effector
Bcin09g02940,Non-effector,Non-effector,non-effector
Bcin09g03320,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin09g03430,Non-effector,Non-effector,effector
Bcin09g03490,Non-effector,Non-effector,effector
Bcin09g03700,Non-effector,Non-effector,non-effector
Bcin09g04020,Non-effector,Non-effector,effector
Bcin09g04220,Non-effector,Non-effector,effector
Bcin09g04230,Apoplastic effector,Apoplastic effector,non-effector
Bcin09g04320,Non-effector,Non-effector,non-effector
Bcin09g04410,Non-effector,Non-effector,effector
Bcin09g04430,Non-effector,Non-effector,effector
Bcin09g04440,Non-effector,Non-effector,non-effector
Bcin09g04490,Non-effector,Non-effector,effector
Bcin09g04570,Non-effector,Non-effector,non-effector
Bcin09g04790,Non-effector,Non-effector,effector
Bcin09g04820,Non-effector,Non-effector,non-effector
Bcin09g04940,Non-effector,Non-effector,effector
Bcin09g05010,Non-effector,Non-effector,effector
Bcin09g05170,Non-effector,Non-effector,effector
Bcin09g05250,Non-effector,Non-effector,non-effector
Bcin09g05470,Non-effector,Non-effector,effector
Bcin09g05740,Non-effector,Non-effector,effector
Bcin09g06000,Non-effector,Non-effector,effector
Bcin09g06020,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin09g06730,Non-effector,Non-effector,effector
Bcin09g06810,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin09g06880,Non-effector,Non-effector,effector
Bcin09g06920,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin09g06990,Non-effector,Non-effector,non-effector
Bcin09g07010,Non-effector,Non-effector,effector
Bcin09g07100,Apoplastic effector,Apoplastic/cytoplasmic effector,effector
Bcin09g07110,Non-effector,Non-effector,effector
Bcin10g00290,Non-effector,Non-effector,non-effector
Bcin10g00310,Non-effector,Non-effector,non-effector
Bcin10g00380,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin10g00480,Non-effector,Non-effector,effector
Bcin10g00850,Non-effector,Non-effector,effector
Bcin10g00960,Non-effector,Non-effector,effector
Bcin10g01020,Apoplastic effector,Apoplastic effector,effector
Bcin10g01080,Non-effector,Non-effector,effector
Bcin10g01340,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin10g01510,Non-effector,Non-effector,non-effector
Bcin10g01610,Non-effector,Non-effector,effector
Bcin10g01640,Apoplastic effector,Apoplastic effector,effector
Bcin10g01780,Non-effector,Non-effector,effector
Bcin10g01890,Non-effector,Non-effector,non-effector
Bcin10g01900,Non-effector,Non-effector,effector
Bcin10g01960,Non-effector,Non-effector,effector
Bcin10g01980,Non-effector,Non-effector,effector
Bcin10g02180,Non-effector,Non-effector,effector
Bcin10g02230,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin10g02560,Non-effector,Non-effector,effector
Bcin10g02890,Apoplastic effector,Apoplastic effector,non-effector
Bcin10g03120,Non-effector,Non-effector,non-effector
Bcin10g03450,Non-effector,Non-effector,non-effector
Bcin10g03730,Non-effector,Non-effector,non-effector
Bcin10g03770,Non-effector,Non-effector,non-effector
Bcin10g03860,Cytoplasmic effector,Non-effector,non-effector
Bcin10g04320,Non-effector,Non-effector,non-effector
Bcin10g04330,Non-effector,Non-effector,non-effector
Bcin10g04560,Apoplastic/cytoplasmic effector,Apoplastic/cytoplasmic effector,non-effector
Bcin10g04570,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin10g04980,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin10g05010,Non-effector,Non-effector,non-effector
Bcin10g05020,Non-effector,Non-effector,non-effector
Bcin10g05620,Apoplastic effector,Apoplastic effector,effector
Bcin10g05630,Non-effector,Non-effector,effector
Bcin10g05700,Apoplastic effector,Apoplastic effector,effector
Bcin10g05710,Non-effector,Non-effector,non-effector
Bcin10g05910,Non-effector,Non-effector,effector
Bcin10g06130,Apoplastic effector,Apoplastic effector,effector
Bcin10g06140,Apoplastic effector,Apoplastic effector,non-effector
Bcin11g00010,Non-effector,Non-effector,non-effector
Bcin11g00040,Non-effector,Non-effector,non-effector
Bcin11g00300,Non-effector,Non-effector,effector
Bcin11g00310,Non-effector,Non-effector,non-effector
Bcin11g00400,Non-effector,Non-effector,non-effector
Bcin11g00940,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin11g01090,Non-effector,Non-effector,non-effector
Bcin11g01310,Non-effector,Non-effector,non-effector
Bcin11g01320,Non-effector,Non-effector,effector
Bcin11g01370,Non-effector,Non-effector,effector
Bcin11g01400,Apoplastic effector,Apoplastic effector,effector
Bcin11g01430,Non-effector,Non-effector,effector
Bcin11g01450,Apoplastic effector,Apoplastic/cytoplasmic effector,effector
Bcin11g01840,Non-effector,Non-effector,effector
Bcin11g01910,Non-effector,Non-effector,non-effector
Bcin11g02150,Apoplastic effector,Apoplastic effector,non-effector
Bcin11g02170,Non-effector,Non-effector,non-effector
Bcin11g02180,Non-effector,Non-effector,effector
Bcin11g02830,Non-effector,Non-effector,non-effector
Bcin11g02900,Non-effector,Non-effector,effector
Bcin11g03340,Non-effector,Non-effector,effector
Bcin11g03930,Non-effector,Non-effector,non-effector
Bcin11g04120,Cytoplasmic effector,Non-effector,effector
Bcin11g04450,Non-effector,Cytoplasmic effector,non-effector
Bcin11g04610,Cytoplasmic effector,Non-effector,non-effector
Bcin11g04730,Non-effector,Non-effector,non-effector
Bcin11g04800,Apoplastic effector,Apoplastic effector,non-effector
Bcin11g04910,Cytoplasmic/apoplastic effector,Cytoplasmic/apoplastic effector,effector
Bcin11g04930,Cytoplasmic effector,Non-effector,non-effector
Bcin11g04960,Apoplastic effector,Apoplastic effector,effector
Bcin11g05360,Apoplastic effector,Apoplastic effector,effector
Bcin11g05540,Apoplastic effector,Apoplastic effector,effector
Bcin11g06120,Non-effector,Non-effector,effector
Bcin11g06220,Apoplastic effector,Apoplastic effector,non-effector
Bcin11g06400,Non-effector,Non-effector,non-effector
Bcin11g06440,Non-effector,Non-effector,non-effector
Bcin11g06450,Non-effector,Non-effector,non-effector
Bcin12g00050,Non-effector,Non-effector,effector
Bcin12g00080,Apoplastic effector,Apoplastic effector,effector
Bcin12g00090,Apoplastic effector,Apoplastic effector,non-effector
Bcin12g00180,Non-effector,Non-effector,non-effector
Bcin12g00300,Non-effector,Non-effector,effector
Bcin12g00350,Non-effector,Non-effector,non-effector
Bcin12g00380,Non-effector,Non-effector,effector
Bcin12g00580,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin12g00950,Apoplastic effector,Apoplastic effector,non-effector
Bcin12g00990,Non-effector,Non-effector,non-effector
Bcin12g01100,Apoplastic effector,Apoplastic effector,non-effector
Bcin12g01520,Non-effector,Non-effector,effector
Bcin12g01600,Apoplastic effector,Apoplastic/cytoplasmic effector,non-effector
Bcin12g01690,Non-effector,Non-effector,non-effector
Bcin12g02040,Non-effector,Non-effector,effector
Bcin12g02120,Non-effector,Non-effector,non-effector
Bcin12g02190,Non-effector,Non-effector,non-effector
Bcin12g02910,Non-effector,Non-effector,effector
Bcin12g03040,Non-effector,Non-effector,non-effector
Bcin12g03090,Non-effector,Non-effector,effector
Bcin12g03130,Non-effector,Non-effector,effector
Bcin12g03270,Cytoplasmic effector,Non-effector,non-effector
Bcin12g03390,Non-effector,Non-effector,non-effector
Bcin12g03420,Non-effector,Non-effector,non-effector
Bcin12g03430,Non-effector,Non-effector,non-effector
Bcin12g03520,Apoplastic effector,Apoplastic effector,non-effector
Bcin12g03550,Apoplastic effector,Apoplastic effector,effector
Bcin12g03690,Non-effector,Non-effector,non-effector
Bcin12g03920,Apoplastic effector,Apoplastic effector,non-effector
Bcin12g04390,Non-effector,Non-effector,non-effector
Bcin12g04410,Non-effector,Non-effector,effector
Bcin12g04440,Apoplastic effector,Apoplastic effector,non-effector
Bcin12g04530,Apoplastic effector,Apoplastic effector,effector
Bcin12g04630,Non-effector,Non-effector,effector
Bcin12g04640,Non-effector,Non-effector,effector
Bcin12g04740,Non-effector,Non-effector,effector
Bcin12g04930,Non-effector,Non-effector,effector
Bcin12g05130,Non-effector,Non-effector,effector
Bcin12g05620,Apoplastic effector,Apoplastic effector,non-effector
Bcin12g05860,Non-effector,Non-effector,non-effector
Bcin12g05990,Non-effector,Non-effector,effector
Bcin12g06040,Non-effector,Non-effector,effector
Bcin12g06110,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin12g06120,Non-effector,Non-effector,non-effector
Bcin12g06300,Non-effector,Non-effector,effector
Bcin12g06330,Non-effector,Non-effector,effector
Bcin12g06360,Non-effector,Non-effector,non-effector
Bcin12g06410,Non-effector,Non-effector,non-effector
Bcin12g06590,Non-effector,Non-effector,effector
Bcin12g06630,Non-effector,Non-effector,non-effector
Bcin12g06700,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin12g06710,Non-effector,Non-effector,effector
Bcin12g06760,Apoplastic/cytoplasmic effector,Apoplastic/cytoplasmic effector,effector
Bcin12g06770,Non-effector,Non-effector,effector
Bcin13g00040,Apoplastic effector,Apoplastic/cytoplasmic effector,effector
Bcin13g00050,Apoplastic effector,Apoplastic effector,effector
Bcin13g00080,Non-effector,Non-effector,effector
Bcin13g00110,Non-effector,Non-effector,effector
Bcin13g00300,Apoplastic effector,Apoplastic effector,effector
Bcin13g00380,Apoplastic effector,Apoplastic effector,non-effector
Bcin13g00470,Non-effector,Non-effector,effector
Bcin13g00600,Apoplastic effector,Apoplastic effector,effector
Bcin13g01130,Cytoplasmic/apoplastic effector,Cytoplasmic/apoplastic effector,effector
Bcin13g01750,Non-effector,Non-effector,effector
Bcin13g01770,Non-effector,Non-effector,effector
Bcin13g01780,Apoplastic effector,Cytoplasmic/apoplastic effector,effector
Bcin13g02010,Non-effector,Non-effector,non-effector
Bcin13g02090,Non-effector,Non-effector,effector
Bcin13g02100,Apoplastic effector,Apoplastic effector,non-effector
Bcin13g02200,Apoplastic effector,Apoplastic/cytoplasmic effector,effector
Bcin13g02210,Apoplastic effector,Apoplastic effector,effector
Bcin13g02320,Non-effector,Non-effector,effector
Bcin13g02330,Non-effector,Non-effector,effector
Bcin13g02480,Non-effector,Non-effector,effector
Bcin13g02540,Non-effector,Non-effector,non-effector
Bcin13g02640,Apoplastic effector,Apoplastic effector,non-effector
Bcin13g02710,Non-effector,Non-effector,effector
Bcin13g02960,Apoplastic effector,Apoplastic effector,effector
Bcin13g03080,Non-effector,Non-effector,effector
Bcin13g03160,Non-effector,Non-effector,non-effector
Bcin13g03170,Non-effector,Non-effector,non-effector
Bcin13g03350,Non-effector,Non-effector,effector
Bcin13g03390,Non-effector,Non-effector,effector
Bcin13g03410,Non-effector,Non-effector,non-effector
Bcin13g03550,Apoplastic effector,Apoplastic effector,non-effector
Bcin13g03640,Non-effector,Non-effector,non-effector
Bcin13g03680,Non-effector,Non-effector,non-effector
Bcin13g03720,Non-effector,Non-effector,effector
Bcin13g03750,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin13g03950,Non-effector,Non-effector,non-effector
Bcin13g04440,Non-effector,Non-effector,effector
Bcin13g04530,Non-effector,Non-effector,non-effector
Bcin13g04850,Non-effector,Non-effector,effector
Bcin13g05670,Non-effector,Non-effector,effector
Bcin13g05690,Cytoplasmic effector,Non-effector,effector
Bcin13g05710,Non-effector,Non-effector,effector
Bcin13g05760,Apoplastic effector,Apoplastic effector,non-effector
Bcin13g05780,Non-effector,Non-effector,non-effector
Bcin14g00240,Non-effector,Non-effector,effector
Bcin14g00390,Apoplastic effector,Apoplastic effector,non-effector
Bcin14g00570,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin14g00610,Apoplastic effector,Apoplastic effector,effector
Bcin14g00650,Non-effector,Non-effector,effector
Bcin14g00670,Apoplastic effector,Apoplastic effector,non-effector
Bcin14g00760,Non-effector,Non-effector,non-effector
Bcin14g00810,Non-effector,Non-effector,non-effector
Bcin14g00850,Apoplastic effector,Apoplastic effector,non-effector
Bcin14g00860,Apoplastic effector,Apoplastic effector,non-effector
Bcin14g00910,Apoplastic effector,Apoplastic effector,non-effector
Bcin14g00930,Non-effector,Non-effector,non-effector
Bcin14g01200,Apoplastic effector,Apoplastic effector,non-effector
Bcin14g01390,Non-effector,Non-effector,non-effector
Bcin14g01420,Apoplastic effector,Apoplastic effector,effector
Bcin14g01490,Non-effector,Non-effector,non-effector
Bcin14g01520,Non-effector,Non-effector,effector
Bcin14g01630,Apoplastic effector,Apoplastic effector,effector
Bcin14g01690,Apoplastic effector,Apoplastic effector,effector
Bcin14g01700,Non-effector,Non-effector,non-effector
Bcin14g01850,Apoplastic effector,Apoplastic effector,non-effector
Bcin14g01900,Non-effector,Non-effector,effector
Bcin14g02470,Non-effector,Non-effector,non-effector
Bcin14g02510,Non-effector,Non-effector,effector
Bcin14g03140,Cytoplasmic/apoplastic effector,Cytoplasmic/apoplastic effector,effector
Bcin14g03170,Non-effector,Non-effector,effector
Bcin14g03310,Apoplastic effector,Apoplastic effector,effector
Bcin14g03970,Non-effector,Non-effector,effector
Bcin14g04030,Apoplastic effector,Apoplastic/cytoplasmic effector,effector
Bcin14g04040,Non-effector,Non-effector,non-effector
Bcin14g04260,Non-effector,Non-effector,non-effector
Bcin14g04560,Apoplastic effector,Apoplastic effector,effector
Bcin14g05330,Non-effector,Non-effector,effector
Bcin14g05390,Non-effector,Non-effector,non-effector
Bcin14g05500,Non-effector,Non-effector,non-effector
Bcin14g05510,Non-effector,Non-effector,effector
Bcin14g05530,Non-effector,Non-effector,effector
Bcin14g05570,Non-effector,Non-effector,non-effector
Bcin15g00100,Apoplastic effector,Apoplastic effector,effector
Bcin15g00130,Apoplastic effector,Apoplastic effector,non-effector
Bcin15g00170,Non-effector,Non-effector,effector
Bcin15g00730,Non-effector,Non-effector,non-effector
Bcin15g00800,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin15g01030,Non-effector,Non-effector,non-effector
Bcin15g01050,Non-effector,Non-effector,non-effector
Bcin15g01110,Non-effector,Non-effector,non-effector
Bcin15g01170,Non-effector,Non-effector,non-effector
Bcin15g01400,Non-effector,Non-effector,effector
Bcin15g01600,Apoplastic effector,Apoplastic effector,non-effector
Bcin15g01710,Non-effector,Non-effector,effector
Bcin15g01910,Non-effector,Non-effector,effector
Bcin15g01960,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin15g01990,Non-effector,Non-effector,effector
Bcin15g02200,Non-effector,Non-effector,non-effector
Bcin15g02320,Non-effector,Non-effector,non-effector
Bcin15g02380,Apoplastic effector,Apoplastic effector,non-effector
Bcin15g02390,Non-effector,Cytoplasmic effector,effector
Bcin15g02440,Non-effector,Non-effector,effector
Bcin15g02540,Non-effector,Non-effector,effector
Bcin15g03000,Non-effector,Non-effector,effector
Bcin15g03080,Non-effector,Non-effector,non-effector
Bcin15g03140,Apoplastic effector,Apoplastic effector,effector
Bcin15g03150,Non-effector,Non-effector,non-effector
Bcin15g03270,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin15g03320,Non-effector,Non-effector,effector
Bcin15g03470,Apoplastic effector,Apoplastic effector,effector
Bcin15g03870,Non-effector,Non-effector,effector
Bcin15g03910,Non-effector,Non-effector,effector
Bcin15g04010,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin15g04100,Apoplastic effector,Apoplastic effector,non-effector
Bcin15g04250,Apoplastic effector,Apoplastic effector,effector
Bcin15g04520,Non-effector,Non-effector,effector
Bcin15g04670,Non-effector,Non-effector,non-effector
Bcin15g04770,Apoplastic effector,Apoplastic effector,effector
Bcin15g04850,Cytoplasmic/apoplastic effector,Cytoplasmic/apoplastic effector,effector
Bcin15g04860,Non-effector,Non-effector,non-effector
Bcin15g04870,Apoplastic/cytoplasmic effector,Apoplastic/cytoplasmic effector,effector
Bcin15g04880,Apoplastic effector,Apoplastic effector,effector
Bcin15g04930,Apoplastic effector,Apoplastic effector,non-effector
Bcin15g05030,Non-effector,Non-effector,effector
Bcin15g05220,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin15g05260,Non-effector,Non-effector,non-effector
Bcin15g05280,Apoplastic effector,Apoplastic effector,effector
Bcin15g05320,Non-effector,Non-effector,non-effector
Bcin15g05510,Non-effector,Non-effector,effector
Bcin15g05580,Non-effector,Non-effector,non-effector
Bcin15g05700,Non-effector,Non-effector,effector
Bcin16g00006,Non-effector,Non-effector,effector
Bcin16g00080,Non-effector,Non-effector,effector
Bcin16g00170,Cytoplasmic/apoplastic effector,Cytoplasmic/apoplastic effector,effector
Bcin16g00260,Non-effector,Non-effector,non-effector
Bcin16g00400,Cytoplasmic/apoplastic effector,Apoplastic/cytoplasmic effector,effector
Bcin16g00410,Non-effector,Non-effector,effector
Bcin16g00510,Non-effector,Non-effector,non-effector
Bcin16g00790,Non-effector,Non-effector,non-effector
Bcin16g00930,Apoplastic effector,Apoplastic effector,non-effector
Bcin16g00950,Non-effector,Non-effector,non-effector
Bcin16g01050,Non-effector,Non-effector,effector
Bcin16g01090,Non-effector,Non-effector,effector
Bcin16g01460,Non-effector,Non-effector,effector
Bcin16g01590,Non-effector,Non-effector,non-effector
Bcin16g01630,Non-effector,Non-effector,non-effector
Bcin16g01670,Non-effector,Non-effector,non-effector
Bcin16g01700,Non-effector,Non-effector,effector
Bcin16g01950,Non-effector,Non-effector,non-effector
Bcin16g02130,Non-effector,Non-effector,non-effector
Bcin16g02160,Non-effector,Non-effector,effector
Bcin16g02380,Non-effector,Non-effector,non-effector
Bcin16g02400,Non-effector,Non-effector,effector
Bcin16g02430,Non-effector,Non-effector,effector
Bcin16g02460,Apoplastic effector,Apoplastic effector,effector
Bcin16g02470,Non-effector,Non-effector,non-effector
Bcin16g02490,Non-effector,Non-effector,effector
Bcin16g02560,Non-effector,Non-effector,non-effector
Bcin16g02720,Non-effector,Non-effector,effector
Bcin16g02770,Non-effector,Non-effector,effector
Bcin16g02850,Non-effector,Non-effector,non-effector
Bcin16g02960,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin16g03000,Non-effector,Non-effector,effector
Bcin16g03020,Non-effector,Non-effector,effector
Bcin16g03050,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin16g03240,Non-effector,Non-effector,effector
Bcin16g03950,Apoplastic effector,Apoplastic effector,non-effector
Bcin16g03980,Non-effector,Non-effector,non-effector
Bcin16g04020,Apoplastic effector,Apoplastic effector,non-effector
Bcin16g04140,Apoplastic effector,Apoplastic effector,effector
Bcin16g04210,Non-effector,Non-effector,non-effector
Bcin16g04460,Non-effector,Non-effector,non-effector
Bcin16g04630,Apoplastic effector,Apoplastic effector,non-effector
Bcin16g04990,Apoplastic effector,Apoplastic effector,effector
Bcin16g05050,Non-effector,Non-effector,effector
Bcin16g05195,Non-effector,Non-effector,effector
